host_id,host_name,host_location,host_is_superhost,host_response_rate,host_listings_count,host_thumbnail_url
51399391,Ana&Gonçalo,"Porto, Porto District, Portugal",FALSE,100,3,https://a0.muscache.com/im/pictures/fab79f25-2e10-4f0f-9711-663cb69dc7d8.jpg?aki_policy=profile_small
1282196,Ynaie,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,NA,1,https://a0.muscache.com/im/pictures/9681e3cc-4af1-4046-b294-2881dffb4ff8.jpg?aki_policy=profile_small
5448114,David,"Honolulu, Hawaii, United States",FALSE,98,18,https://a0.muscache.com/im/users/5448114/profile_pic/1363202219/original.jpg?aki_policy=profile_small
11275734,Josh,"New York, New York, United States",FALSE,NA,1,https://a0.muscache.com/im/users/11275734/profile_pic/1405792127/original.jpg?aki_policy=profile_small
51496939,Livia,BR,FALSE,NA,1,https://a0.muscache.com/im/pictures/b7911710-9088-451d-a27b-62ad2fc2eac0.jpg?aki_policy=profile_small
454250,Greta,"New York, New York, United States",TRUE,100,3,https://a0.muscache.com/im/pictures/f1022be4-e72a-4b35-b6d2-3d2736ddaff9.jpg?aki_policy=profile_small
51530266,Ana Valéria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",TRUE,100,2,https://a0.muscache.com/im/pictures/8c7bb5fe-7b6d-4d03-a465-aae8971a87a0.jpg?aki_policy=profile_small
1241644,Zeynep,"Istanbul, Istanbul, Turkey",FALSE,NA,2,https://a0.muscache.com/im/users/1241644/profile_pic/1426581715/original.jpg?aki_policy=profile_small
51326285,Beatriz,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,80,5,https://a0.muscache.com/im/pictures/eb09c9cb-bc70-412f-80d9-47ed3ab104f4.jpg?aki_policy=profile_small
51612949,Konstantin,"Montreal, Quebec, Canada",FALSE,NA,1,https://a0.muscache.com/im/pictures/beb6b50e-0a26-4b29-9837-d68c3eea413f.jpg?aki_policy=profile_small
47554473,Mae,US,FALSE,100,13,https://a0.muscache.com/im/pictures/c680ce22-d6ec-4b00-8ef3-b5b7fc0d76f2.jpg?aki_policy=profile_small
7140229,Caro,"Montreal, Quebec, Canada",FALSE,100,1,https://a0.muscache.com/im/pictures/user/c64773a6-da5f-4c1a-91fe-f17131e4473b.jpg?aki_policy=profile_small
51624384,Giovanni,"Hong Kong, Hong Kong",FALSE,NA,1,https://a0.muscache.com/im/pictures/264b82a7-756f-4da8-b607-dc9759e2a10f.jpg?aki_policy=profile_small
9036477,Margaux,"Montreal, Quebec, Canada",FALSE,NA,2,https://a0.muscache.com/im/users/9036477/profile_pic/1425247510/original.jpg?aki_policy=profile_small
51670240,Jonathan,"Resende, Rio de Janeiro, Brazil",FALSE,NA,1,https://a0.muscache.com/im/pictures/9a6839d9-9bea-451b-961d-5965894b9b9a.jpg?aki_policy=profile_small
51289938,Ken,Hong Kong,FALSE,90,6,https://a0.muscache.com/im/pictures/48ba1de1-bfea-446c-83ab-c21cb4272696.jpg?aki_policy=profile_small
30393403,Anna,"Barcelona, Catalonia, Spain",FALSE,NA,1,https://a0.muscache.com/im/users/30393403/profile_pic/1427876639/original.jpg?aki_policy=profile_small
27518920,Fábio,"São Félix da Marinha, Porto, Portugal",TRUE,90,3,https://a0.muscache.com/im/pictures/user/30283df3-5b0b-47bb-8f81-990bdf925fb6.jpg?aki_policy=profile_small
51744313,Yi,United States,FALSE,100,2,https://a0.muscache.com/im/pictures/user/a204d442-1ae1-47fc-8d26-cf0ff9efda1b.jpg?aki_policy=profile_small
13764143,Ben,"New South Wales, Australia",FALSE,NA,1,https://a0.muscache.com/im/pictures/03c4d82b-7e4a-4457-976d-c4e9dfdb13fa.jpg?aki_policy=profile_small
21331922,Ali,İstanbul,TRUE,100,8,https://a0.muscache.com/im/pictures/user/bcd9b30d-f858-4fab-b7a3-f98b45df73cb.jpg?aki_policy=profile_small
34607505,Scott,"New York, New York, United States",FALSE,NA,1,https://a0.muscache.com/im/pictures/675cec89-71eb-4ca7-bacd-bbed62ef6fad.jpg?aki_policy=profile_small
16187044,Desireé,Australia,TRUE,100,1,https://a0.muscache.com/im/users/16187044/profile_pic/1402737505/original.jpg?aki_policy=profile_small
