property_id,host_id,country_code,property_type,room_type,price,security_deposit,cleaning_fee,accommodates,bedrooms,beds,bathrooms,number_of_reviews,review_scores_rating
PID_00001,51399391,PT,House,Entire home/apt,80,200,35,8,3,5,1,51,89
PID_00002,1282196,BR,Apartment,Entire home/apt,317,NA,187,4,1,2,1,0,NA
PID_00003,5448114,US,Condominium,Entire home/apt,115,NA,100,2,1,1,1,96,84
PID_00004,11275734,US,Apartment,Private room,40,NA,NA,1,1,1,1.5,1,100
PID_00005,51496939,BR,Apartment,Private room,701,1000,250,2,1,1,2,0,NA
PID_00006,454250,US,Apartment,Private room,135,0,135,2,1,1,1,70,94
PID_00007,51530266,BR,Apartment,Entire home/apt,119,600,150,4,1,3,2,70,98
PID_00008,1241644,TR,House,Entire home/apt,527,NA,211,6,2,6,1,1,100
PID_00009,51326285,BR,House,Private room,250,0,0,8,1,8,4,1,80
PID_00010,51612949,CA,Apartment,Entire home/apt,50,NA,NA,4,1,2,1,0,NA
PID_00011,47554473,US,Apartment,Entire home/apt,205,NA,NA,4,0,2,1,5,88
PID_00012,7140229,CA,Apartment,Entire home/apt,43,NA,NA,2,0,1,1,0,NA
PID_00013,51624384,HK,Apartment,Entire home/apt,699,NA,NA,3,1,2,1,3,100
PID_00014,9036477,CA,Apartment,Entire home/apt,140,NA,NA,6,3,3,1,0,NA
PID_00015,51670240,BR,Apartment,Entire home/apt,858,4476,112,5,2,2,2,0,NA
PID_00016,51289938,HK,Apartment,Private room,361,NA,NA,2,1,1,1,0,NA
PID_00017,30393403,ES,Apartment,Private room,50,100,10,2,1,2,1,0,NA
PID_00018,27518920,PT,Loft,Entire home/apt,30,0,10,2,1,1,1,178,97
PID_00019,51744313,HK,Guesthouse,Private room,181,0,50,1,1,1,1,81,92
PID_00020,13764143,AU,Apartment,Entire home/apt,181,300,50,2,0,1,1,64,95
PID_00021,21331922,TR,Apartment,Private room,58,0,0,2,1,1,1,27,99
PID_00022,34607505,US,Apartment,Entire home/apt,145,NA,60,2,1,1,1,1,100
PID_00023,16187044,AU,Apartment,Entire home/apt,185,800,120,2,1,1,1,109,100
PID_00024,6517277,AU,House,Entire home/apt,250,400,150,2,1,1,2.5,0,NA
PID_00025,2649859,PT,Hostel,Private room,40,0,50,2,1,1,1,0,NA
PID_00026,51471538,TR,Serviced apartment,Entire home/apt,838,NA,NA,4,2,4,1,3,67
PID_00027,51471538,TR,Serviced apartment,Entire home/apt,997,NA,NA,6,2,5,2,0,NA
PID_00028,51915770,BR,Apartment,Entire home/apt,933,NA,NA,5,3,3,1.5,0,NA
PID_00029,51920973,PT,Apartment,Entire home/apt,40,250,15,2,1,1,1,12,96
PID_00030,33231070,US,Apartment,Entire home/apt,150,200,NA,3,1,1,1,0,NA
PID_00031,52004369,US,Apartment,Entire home/apt,275,0,35,5,2,2,1,9,90
PID_00032,52004703,TR,Bed and breakfast,Private room,121,NA,NA,3,1,2,1,29,92
PID_00033,52031360,US,Apartment,Private room,46,0,15,2,1,1,1,123,99
PID_00034,1017772,US,Apartment,Private room,45,NA,NA,2,1,1,1,239,95
PID_00035,11435086,HK,Apartment,Entire home/apt,966,NA,118,2,0,1,1,1,100
PID_00036,35215309,US,Apartment,Entire home/apt,180,199,59,9,3,4,1,22,95
PID_00037,14461742,US,Apartment,Entire home/apt,220,NA,25,4,2,2,1,1,100
PID_00038,5595776,AU,House,Private room,64,0,30,2,1,2,3.5,8,100
PID_00039,52299431,BR,Apartment,Entire home/apt,380,NA,NA,2,2,2,1,0,NA
PID_00040,52316085,TR,Loft,Private room,185,NA,NA,2,1,2,1,0,NA
PID_00041,39300,CA,Apartment,Private room,34,0,25,1,1,1,1,62,98
PID_00042,37417314,TR,Apartment,Entire home/apt,264,527,26,4,1,2,1,0,NA
PID_00043,2537111,BR,Apartment,Entire home/apt,298,600,180,4,2,2,2,24,92
PID_00044,52453573,AU,Apartment,Private room,36,NA,NA,2,1,1,1,4,95
PID_00045,634664,AU,Apartment,Entire home/apt,117,0,0,2,0,1,1,61,97
PID_00046,52473150,HK,Apartment,Private room,330,NA,NA,2,1,1,1,9,73
PID_00047,31553171,BR,Apartment,Entire home/apt,746,NA,373,6,3,3,3,0,NA
PID_00048,3393610,US,Apartment,Entire home/apt,135,200,NA,6,2,3,2,1,100
PID_00049,12057949,US,Condominium,Entire home/apt,499,NA,99,4,1,2,1,1,100
PID_00050,12673423,BR,Apartment,Private room,149,NA,30,1,1,1,2,1,100
PID_00051,52473150,HK,Apartment,Private room,400,NA,NA,3,1,2,1,22,83
PID_00052,52491634,HK,Guesthouse,Private room,487,0,NA,2,1,1,1,162,96
PID_00053,52772199,BR,Apartment,Entire home/apt,798,500,150,6,2,5,2,8,100
PID_00054,42868615,US,Condominium,Entire home/apt,95,0,130,4,1,2,1,32,98
PID_00055,4428126,BR,Apartment,Entire home/apt,858,1865,112,3,1,1,1,29,99
PID_00056,51724179,PT,Apartment,Entire home/apt,31,200,10,2,0,1,1,225,96
PID_00057,52785887,US,Treehouse,Entire home/apt,185,300,80,2,1,1,1.5,103,99
PID_00058,52966539,BR,Apartment,Entire home/apt,1999,NA,NA,6,3,4,3,0,NA
PID_00059,52988408,BR,Apartment,Private room,71,NA,20,1,1,1,1,1,80
PID_00060,178043,US,Apartment,Entire home/apt,212,275,120,3,1,3,1,45,93
PID_00061,53027036,BR,Apartment,Entire home/apt,933,NA,NA,4,1,2,1,0,NA
PID_00062,465278,US,Apartment,Entire home/apt,175,300,90,2,1,2,1,117,96
PID_00063,53086419,US,House,Entire home/apt,795,1000,345,14,4,10,4,32,94
PID_00064,53127432,BR,House,Private room,101,400,100,1,1,1,1,0,NA
PID_00065,53169195,US,Apartment,Private room,35,NA,NA,1,1,1,1,2,90
PID_00066,2657469,HK,Apartment,Entire home/apt,997,1000,380,4,1,2,1,145,94
PID_00067,53288729,TR,Apartment,Private room,37,NA,NA,2,2,2,1,1,NA
PID_00068,53319251,TR,Apartment,Private room,105,NA,NA,4,1,2,1,0,NA
PID_00069,3104922,PT,Apartment,Entire home/apt,100,NA,NA,8,4,8,2,71,88
PID_00070,15152328,BR,Apartment,Entire home/apt,149,1000,60,4,1,2,1,0,NA
PID_00071,5386341,TR,Apartment,Entire home/apt,269,0,60,4,1,3,1,135,91
PID_00072,48463017,BR,Bed and breakfast,Private room,138,NA,NA,2,1,1,1,9,98
PID_00073,3026612,BR,Apartment,Private room,101,128,120,2,1,1,1,1,100
PID_00074,53507053,US,Bungalow,Entire home/apt,100,250,80,2,0,1,1,99,96
